series_id,num_points,num_anomaly_points,num_true_event_windows,num_pred_event_windows,auprc,point_precision,point_recall,point_f1,point_auroc,point_auprc,event_precision,event_recall,event_f1,false_positive_event_count,event_count_true,event_count_pred,method,donor_policy,synthesis_method,labeled_fraction
IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3,8784,71,6,73,0.02746437565291976,0.024154589371980676,0.14084507042253522,0.041237113402061855,0.7736383871921995,0.02746437565291976,0.0273972602739726,0.3333333333333333,0.05063291139240506,71.0,6.0,73.0,real_only,,,0.2
IOPS/KPI-a8c06b47-cc41-3738-9110-12df0ee4c721,7578,127,10,242,0.009119671055174892,0.002121855107608366,0.05511811023622047,0.004086398131932283,0.10942990266063743,0.009119671055174892,0.004132231404958678,0.1,0.007936507936507936,241.0,10.0,242.0,real_only,,,0.2
MSL/F-5_col_0,3922,151,1,42,0.024873675776978268,0.002214022140221402,0.019867549668874173,0.00398406374501992,0.12775960141968773,0.024873675776978268,0.0,0.0,0.0,42.0,1.0,42.0,real_only,,,0.2
MSL/M-4_col_0,2038,251,1,52,0.09432575755237535,0.1262699564586357,0.6932270916334662,0.2136279926335175,0.3932395766681456,0.09432575755237535,0.019230769230769232,1.0,0.03773584905660378,51.0,1.0,52.0,real_only,,,0.2
NAB/NAB_data_Traffic_5,2499,238,1,0,0.09523809523809523,0.0,0.0,0.0,0.49977885891198587,0.09523809523809523,0.0,0.0,0.0,0.0,1.0,0.0,real_only,,,0.2
TODS/TODS_012,5000,204,155,94,0.38709600142610945,0.16029411764705884,0.5343137254901961,0.24660633484162897,0.7384253013131858,0.38709600142610945,0.4148936170212766,0.25161290322580643,0.3132530120481927,55.0,155.0,94.0,real_only,,,0.2
IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3,8784,71,6,15,0.38558421366044476,0.2920353982300885,0.4647887323943662,0.358695652173913,0.8153261356270297,0.38558421366044476,0.13333333333333333,0.3333333333333333,0.19047619047619044,13.0,6.0,15.0,learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,0.2
IOPS/KPI-a8c06b47-cc41-3738-9110-12df0ee4c721,7578,127,10,215,0.012764115937814529,0.006184586108468126,0.10236220472440945,0.011664423508299685,0.2086793824641199,0.012764115937814529,0.004651162790697674,0.1,0.008888888888888889,214.0,10.0,215.0,learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,0.2
MSL/F-5_col_0,3922,151,1,26,0.02592305257254787,0.018633540372670808,0.3576158940397351,0.0354214496556248,0.19149627428563404,0.02592305257254787,0.038461538461538464,1.0,0.07407407407407407,25.0,1.0,26.0,learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,0.2
MSL/M-4_col_0,2038,251,1,39,0.10273450919668789,0.13270485859318346,0.7290836653386454,0.2245398773006135,0.4385881209353967,0.10273450919668789,0.02564102564102564,1.0,0.05,38.0,1.0,39.0,learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,0.2
NAB/NAB_data_Traffic_5,2499,238,1,0,0.09523809523809523,0.0,0.0,0.0,0.49977885891198587,0.09523809523809523,0.0,0.0,0.0,0.0,1.0,0.0,learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,0.2
TODS/TODS_012,5000,204,155,105,0.33680852332710326,0.1506276150627615,0.5294117647058824,0.23452768729641693,0.7514789694026067,0.33680852332710326,0.3523809523809524,0.23870967741935484,0.2846153846153846,68.0,155.0,105.0,learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,0.2
IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3,8784,71,6,42,0.08017786294624304,0.08884297520661157,0.6056338028169014,0.15495495495495495,0.8274530691552042,0.08017786294624304,0.07142857142857142,0.5,0.125,39.0,6.0,42.0,learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,0.2
IOPS/KPI-a8c06b47-cc41-3738-9110-12df0ee4c721,7578,127,10,274,0.008854788013221922,0.0013171759747102212,0.03937007874015748,0.0025490695895997962,0.0932501793872196,0.008854788013221922,0.0,0.0,0.0,274.0,10.0,274.0,learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,0.2
MSL/F-5_col_0,3922,151,1,25,0.024618604135158952,0.01687360713148679,0.3509933774834437,0.03219927095990279,0.25880675282436016,0.024618604135158952,0.04,1.0,0.07692307692307693,24.0,1.0,25.0,learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,0.2
MSL/M-4_col_0,2038,251,1,12,0.10996100978757029,0.11945205479452055,0.8685258964143426,0.21001926782273603,0.4663260778932396,0.10996100978757029,0.08333333333333333,1.0,0.15384615384615385,11.0,1.0,12.0,learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,0.2
NAB/NAB_data_Traffic_5,2499,238,1,1,0.17451560334278643,0.9,0.037815126050420166,0.07258064516129033,0.5459899129930611,0.17451560334278643,0.0,0.0,0.0,1.0,1.0,1.0,learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,0.2
TODS/TODS_012,5000,204,155,137,0.2922787416807752,0.12512512512512514,0.6127450980392157,0.20781379883624274,0.7344411805589626,0.2922787416807752,0.25547445255474455,0.22580645161290322,0.23972602739726026,102.0,155.0,137.0,learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,0.2
IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3,8784,71,6,27,0.12234589115338909,0.1171875,0.6338028169014085,0.1978021978021978,0.8265833957030373,0.12234589115338909,0.1111111111111111,0.5,0.1818181818181818,24.0,6.0,27.0,learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,0.2
IOPS/KPI-a8c06b47-cc41-3738-9110-12df0ee4c721,7578,127,10,241,0.008704349549227313,0.0003624501631025734,0.007874015748031496,0.000693000693000693,0.05599787377269025,0.008704349549227313,0.0,0.0,0.0,241.0,10.0,241.0,learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,0.2
MSL/F-5_col_0,3922,151,1,23,0.025976471479012317,0.017880794701986755,0.3576158940397351,0.03405865657521287,0.27201929679446313,0.025976471479012317,0.043478260869565216,1.0,0.08333333333333333,22.0,1.0,23.0,learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,0.2
MSL/M-4_col_0,2038,251,1,44,0.09515277043009061,0.11635944700460829,0.8047808764940239,0.20332159033719174,0.39202228578690274,0.09515277043009061,0.022727272727272728,1.0,0.044444444444444446,43.0,1.0,44.0,learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,0.2
