detector_backbone,adaptive_groupwise_transfer,groupwise_compatibility_strict,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,random_event_oversampling,real_only
autoencoder,0.05632453065274914,0.058360880879284524,0.05632453065274914,0.07523239308943089,0.06853945599686526,0.0484428762886598
cnn,0.04903459449860849,0.05764425587069566,0.04903459449860849,0.07269921338986254,0.07934568671904439,0.049078195337284684
iforest,0.07675230142262295,0.06428297029230784,0.07010443060266285,0.07675230142262295,0.07030054219656587,0.034902744589887826
internal_classifier,0.10617335124495901,0.10850950082780839,0.10617335124495901,0.11282072980736117,0.10272880215781917,0.1175701612143385
lof,0.05117443605215509,0.05691599503498327,0.05852942671225246,0.05117443605215509,0.0644418415041055,0.03518508653048444
ocsvm,0.03357452955459711,0.03357452955459711,0.03357452955459711,0.03357452955459711,0.03575345740482886,0.03357452955459711
timesnet,0.0504717461293598,0.0504717461293598,0.0504717461293598,0.0504717461293598,0.04908246799112506,0.0504717461293598
