dataset,detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,num_seeds_total,num_seeds_valid,num_seeds_invalid,num_seeds,threshold_mode,threshold_calibration_method,auroc_mean,auroc_std,auroc_median,auroc_min,auroc_max,auprc_mean,auprc_std,auprc_median,auprc_min,auprc_max,best_point_f1_mean,best_point_f1_std,best_point_f1_median,best_point_f1_min,best_point_f1_max,event_precision_mean,event_precision_std,event_precision_median,event_precision_min,event_precision_max,event_recall_mean,event_recall_std,event_recall_median,event_recall_min,event_recall_max,event_f1_mean,event_f1_std,event_f1_median,event_f1_min,event_f1_max,false_positive_events_mean,false_positive_events_std,false_positive_events_median,false_positive_events_min,false_positive_events_max,num_synthetic_windows_mean,num_synthetic_points_mean,num_rejected_synthetic_windows_mean,metrics_valid_partial,metrics_valid_all
TSB-UAD-Public-v2,autoencoder,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4380898337452881,0.07897930688016651,0.432835300729098,0.34384983459671503,0.5748574889298821,0.04431380359936966,0.01496964567246657,0.05046266058714488,0.02464787352320389,0.06412473821886644,0.05632453065274914,0.023602836203934118,0.07051936559798516,0.02478966346153846,0.08125819134993446,0.04503393559089762,0.02279455045326408,0.06153846153846154,0.015384615384615385,0.06481481481481481,0.1446338235475412,0.2365506830680169,0.02857142857142857,0.009933774834437087,0.6170212765957447,0.048284519854619214,0.03755240177992244,0.03902439024390244,0.013043478260869566,0.11670020120724346,205.6,111.33840307818322,155.0,122.0,421.0,81.4,1504.0,0.0,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.45343434303695035,0.08603776079382836,0.4150017358079724,0.34970621899037624,0.5843123055455599,0.04328863086264984,0.014379151233999073,0.04625931748582246,0.02480290681848705,0.06445155980244657,0.058360880879284524,0.029891418551301487,0.06761796297536901,0.0,0.08077680295123955,0.013977903924800097,0.02421162470523555,0.0,0.0,0.06201550387596899,0.10278991123009722,0.2039282258206986,0.0,0.0,0.5106382978723404,0.023052216600603696,0.043810653878581914,0.0,0.0,0.11059907834101382,98.4,140.8795229974889,1.0,1.0,363.0,1.4,62.0,80.0,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4380898337452881,0.07897930688016651,0.432835300729098,0.34384983459671503,0.5748574889298821,0.04431380359936966,0.01496964567246657,0.05046266058714488,0.02464787352320389,0.06412473821886644,0.05632453065274914,0.023602836203934118,0.07051936559798516,0.02478966346153846,0.08125819134993446,0.04503393559089762,0.02279455045326408,0.06153846153846154,0.015384615384615385,0.06481481481481481,0.1446338235475412,0.2365506830680169,0.02857142857142857,0.009933774834437087,0.6170212765957447,0.048284519854619214,0.03755240177992244,0.03902439024390244,0.013043478260869566,0.11670020120724346,205.6,111.33840307818322,155.0,122.0,421.0,81.4,1504.0,0.0,False,True
TSB-UAD-Public-v2,autoencoder,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4617749097638836,0.06935102186789922,0.4390423152714419,0.38806193321411464,0.5740027333293937,0.044816837898036276,0.014280534579290202,0.049697689055816896,0.02714391564476139,0.06418119518485943,0.07523239308943089,0.012301167178445021,0.07601964552637198,0.05536876743686959,0.09414771541831839,0.10955890348078516,0.11370330134925288,0.06726457399103139,0.014598540145985401,0.3333333333333333,0.13827269629941946,0.2292500331857709,0.018691588785046728,0.006622516556291391,0.5957446808510638,0.048068643898582765,0.04135693759521961,0.02785515320334262,0.012987012987012988,0.12416851441241684,159.4,127.52662467108586,135.0,4.0,376.0,81.4,1504.0,0.0,False,True
TSB-UAD-Public-v2,autoencoder,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4561427125252192,0.08886364921848283,0.4350794612685925,0.33607162851241257,0.5909570614851967,0.04485613741498355,0.015627939942124976,0.05083246079038781,0.024345381511762104,0.06767325183255418,0.06853945599686526,0.026074890738848427,0.0770935570682286,0.01764770360626987,0.09212890186391197,0.07199939583350978,0.06416938421135066,0.06428571428571428,0.0,0.19047619047619047,0.14507577131558042,0.21824726083499002,0.024475524475524476,0.0,0.574468085106383,0.0465614488080643,0.03874958181310933,0.03617571059431524,0.0,0.11563169164882225,165.4,161.53835457871918,94.0,1.0,393.0,162.8,3008.0,0.0,False,True
TSB-UAD-Public-v2,autoencoder,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4646070893129936,0.08451027345799975,0.43311799532520356,0.34970621899037624,0.5943197526406145,0.04479629497604067,0.014905540703617676,0.05087365323053272,0.02480290681848705,0.06609344165741507,0.0484428762886598,0.06493996895547077,0.0,0.0,0.16285438144329897,0.1,0.20000000000000004,0.0,0.0,0.5,0.0007142857142857143,0.0014285714285714286,0.0,0.0,0.0035714285714285713,0.0014184397163120566,0.0028368794326241137,0.0,0.0,0.0070921985815602835,0.6,0.48989794855663565,1.0,0.0,1.0,0.0,0.0,0.0,False,True
TSB-UAD-Public-v2,cnn,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.04903459449860849,0.02329712117956652,0.05217845030002609,0.022295623451692816,0.08081039755351682,0.024859127562421063,0.020522144884540308,0.0365296803652968,0.0,0.04609929078014184,0.06952282605375462,0.10485562695050256,0.027972027972027972,0.0,0.2765957446808511,0.02972542291814559,0.027615383868768377,0.031683168316831684,0.0,0.0724233983286908,164.8,120.35347938468584,211.0,1.0,299.0,81.4,1504.0,0.0,False,True
TSB-UAD-Public-v2,cnn,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.05764425587069566,0.029428892822522094,0.06714522363335174,0.0021344717182497333,0.08520179372197309,0.16626161073502177,0.25064934753540336,0.045454545454545456,0.02127659574468085,0.6666666666666666,0.07431009978644953,0.11207702813319734,0.025,0.0034965034965034965,0.2978723404255319,0.03728908081646141,0.023577920596242686,0.03626943005181347,0.006006006006006006,0.07887323943661972,136.6,113.23003135211081,99.0,1.0,294.0,1.4,62.0,80.0,False,True
TSB-UAD-Public-v2,cnn,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.04903459449860849,0.02329712117956652,0.05217845030002609,0.022295623451692816,0.08081039755351682,0.024859127562421063,0.020522144884540308,0.0365296803652968,0.0,0.04609929078014184,0.06952282605375462,0.10485562695050256,0.027972027972027972,0.0,0.2765957446808511,0.02972542291814559,0.027615383868768377,0.031683168316831684,0.0,0.0724233983286908,164.8,120.35347938468584,211.0,1.0,299.0,81.4,1504.0,0.0,False,True
TSB-UAD-Public-v2,cnn,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.1,5,5,0,5,synthetic_separation,synthetic_positive_separation,0.4142780794642307,0.08530810203129927,0.4149619662904037,0.32127482504961763,0.557420873041272,0.04137358110642749,0.014852848050490381,0.0432266312246903,0.02383271122142803,0.06364795952257338,0.07269921338986254,0.00575507508770523,0.07361487795428129,0.06528923857651549,0.08081039755351682,0.013289130949561922,0.01798100885822392,0.0,0.0,0.045307443365695796,0.08387353350566713,0.11688900511576777,0.0,0.0,0.2978723404255319,0.02293255314513368,0.03115565936755466,0.0,0.0,0.07865168539325842,180.0,239.76321652830737,1.0,1.0,602.0,81.4,1504.0,0.0,False,True
