detector_backbone,real_only_event_f1,random_event_oversampling_event_f1,cross_dataset_all_event_f1,cross_dataset_compatible_event_f1,compatibility_strict_event_f1,adaptive_groupwise_transfer_event_f1,cross_dataset_all_policy,cross_dataset_compatible_policy,compatibility_strict_policy,adaptive_groupwise_transfer_policy,gain_compatibility_strict_over_real_only,gain_compatibility_strict_over_cross_dataset_all,false_positive_change_vs_real_only,gain_adaptive_groupwise_transfer_over_real_only,adaptive_false_positive_change_vs_real_only
autoencoder,0.0014184397163120566,0.0465614488080643,0.048284519854619214,0.048068643898582765,0.023052216600603696,0.048284519854619214,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.02163377688429164,-0.025232303254015518,97.80000000000001,0.046866080138307155,205.0
cnn,0.012320082320082321,0.04111037628772133,0.02972542291814559,0.02293255314513368,0.03728908081646141,0.02972542291814559,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.024968998496379086,0.007563657898315819,121.39999999999999,0.017405340598063267,149.60000000000002
iforest,0.001146131805157593,0.03670880361173815,0.02272689961124664,0.05318707660239709,0.024465490027263594,0.05318707660239709,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.023319358222106002,0.0017385904160169552,12.800000000000004,0.052040944797239495,43.4
internal_classifier,0.059091529906486605,0.058557251647564444,0.04421761626305516,0.041904663900530076,0.05676032385996447,0.04421761626305516,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,-0.0023312060465221357,0.012542707596909307,-39.0,-0.014873913643431443,-7.599999999999994
lof,0.03032443965716817,0.025135395771676332,0.03747100573624784,0.036879099195300566,0.03665090520154597,0.036879099195300566,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.006326465544377803,-0.0008201005347018703,36.2,0.006554659538132397,38.80000000000001
ocsvm,0.002209944751381215,0.002507836990595611,0.002209944751381215,0.002209944751381215,0.002209944751381215,0.002209944751381215,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.0,0.0,0.0,0.0,0.0
timesnet,0.007836391437308868,0.010079981180898612,0.007836391437308868,0.007836391437308868,0.007836391437308868,0.007836391437308868,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.0,0.0,0.0,0.0,0.0
