detector_backbone,adaptive_groupwise_transfer,groupwise_compatibility_strict,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,random_event_oversampling,real_only
autoencoder,0.07383569244257629,0.07202629484094165,0.07383569244257629,0.0649576289863496,0.06691765081970527,0.0484428762886598
cnn,0.05381788042257922,0.06760537345455267,0.05381788042257922,0.061876922914819055,0.07922565774322525,0.049078195337284684
iforest,0.05885792967520513,0.07363522062549183,0.0648159957718066,0.05885792967520513,0.06078206721131914,0.034902744589887826
internal_classifier,0.10487341184049834,0.10906672631396301,0.10487341184049834,0.10358227201490604,0.08745779018045531,0.1168690337419106
lof,0.05879500399595481,0.057757111698661975,0.06467934094197847,0.05879500399595481,0.06448900730801722,0.03518508653048444
ocsvm,0.03357452955459711,0.03357452955459711,0.03357452955459711,0.03357452955459711,0.035657059286107,0.03357452955459711
timesnet,0.0504717461293598,0.0504717461293598,0.0504717461293598,0.0504717461293598,0.04908246799112506,0.0504717461293598
