detector_backbone,adaptive_groupwise_transfer,groupwise_compatibility_strict,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,random_event_oversampling,real_only
autoencoder,0.03113423068839241,0.027613858805631348,0.03113423068839241,0.0314562474420304,0.01488368462138954,0.0014184397163120566
cnn,0.03162454931624549,0.03891205708547308,0.03162454931624549,0.025391621129326046,0.04129411327297748,0.012320082320082321
iforest,0.034,0.027623384764105696,0.05672689961124664,0.034,0.03519760479041916,0.001146131805157593
internal_classifier,0.09478438328627678,0.09342317045564923,0.09478438328627678,0.05208945689735854,0.08787512167857066,0.11434672964766979
lof,0.03612735636137541,0.052157531252731884,0.03478553364010635,0.03612735636137541,0.025083317376306303,0.03032443965716817
ocsvm,0.002209944751381215,0.002209944751381215,0.002209944751381215,0.002209944751381215,0.0024922118380062306,0.002209944751381215
timesnet,0.007836391437308868,0.007836391437308868,0.007836391437308868,0.007836391437308868,0.010079981180898612,0.007836391437308868
