split_seed,dataset,detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,auroc,auprc,best_point_f1,event_precision,event_recall,event_f1,false_positive_events,threshold,threshold_mode,threshold_calibration_method,calibration_f1,synthetic_score_mean,normal_score_mean,synthetic_normal_score_gap,num_synthetic_windows,num_synthetic_points,num_rejected_synthetic_windows,metrics_valid,metrics_invalid_reason
0,TSB-UAD-Public-v2,internal_classifier,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.05,0.6009198836852034,0.0787727350839698,0.14947138169886984,0.09836065573770492,0.019867549668874173,0.03305785123966942,55,0.5137740495730128,oracle_val,validation_best_f1,0.1634615384615385,,,,0,0,0,True,
0,TSB-UAD-Public-v2,internal_classifier,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.05,0.5964121318325322,0.06888514811594784,0.10530137981118373,0.04040404040404041,0.013245033112582781,0.0199501246882793,95,0.47606010869070503,oracle_val,validation_best_f1,0.18619934282584885,,,,84,3636,0,True,
0,TSB-UAD-Public-v2,internal_classifier,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,0.5480935244899643,0.07077208592411838,0.13155136268343814,0.03723404255319149,0.023178807947019868,0.028571428571428574,181,0.34398295046909566,oracle_val,validation_best_f1,0.1676646706586826,,,,42,1818,0,True,
0,TSB-UAD-Public-v2,internal_classifier,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.05,0.5338400320147583,0.07049821945110682,0.12344913151364764,0.07692307692307693,0.023178807947019868,0.035623409669211195,84,0.3931121908833983,oracle_val,validation_best_f1,0.1701927597555242,,,,42,1818,0,True,
0,TSB-UAD-Public-v2,internal_classifier,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.05,0.603623478021454,0.08394011172922144,0.15769712140175218,0.10309278350515463,0.033112582781456956,0.050125313283208024,87,0.394771659918908,oracle_val,validation_best_f1,0.17956920452121988,,,,1,26,41,True,
0,TSB-UAD-Public-v2,internal_classifier,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,0.5480935244899643,0.07077208592411838,0.13155136268343814,0.03723404255319149,0.023178807947019868,0.028571428571428574,181,0.34398295046909566,oracle_val,validation_best_f1,0.1676646706586826,,,,42,1818,0,True,
0,TSB-UAD-Public-v2,iforest,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.05,0.43846696392817686,0.03306312705453547,0.0,0.0,0.0,0.0,0,0.5147561525315539,synthetic_separation,synthetic_positive_separation,,,0.367090349887458,,0,0,0,True,
0,TSB-UAD-Public-v2,iforest,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.05,0.43846696392817686,0.03306312705453547,0.05626415544164978,0.03125,0.0033112582781456954,0.005988023952095808,31,0.29892828113621256,synthetic_separation,synthetic_positive_separation,0.1909108195474425,0.3189007764571225,0.367090349887458,-0.048189573430335475,84,3636,0,True,
0,TSB-UAD-Public-v2,iforest,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,0.43846696392817686,0.03306312705453547,0.05553092887366512,0.0,0.0,0.0,14,0.29921652208430216,synthetic_separation,synthetic_positive_separation,0.15084536433712364,0.3027147737734831,0.367090349887458,-0.06437557611397488,42,1818,0,True,
0,TSB-UAD-Public-v2,iforest,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.05,0.43846696392817686,0.03306312705453547,0.05547057402785605,0.0,0.0,0.0,13,0.2991666419769366,synthetic_separation,synthetic_positive_separation,0.11661251895170024,0.30143185529884997,0.367090349887458,-0.06565849458860801,42,1818,0,True,
0,TSB-UAD-Public-v2,iforest,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,compatibility_strict,learned_prototype_event_time,strict,True,0.05,0.43846696392817686,0.03306312705453547,0.07651461838653957,0.0,0.0,0.0,1,0.2968310858917414,synthetic_separation,synthetic_positive_separation,0.0015393724097098876,0.2970870412165464,0.367090349887458,-0.07000330867091159,1,26,41,True,
0,TSB-UAD-Public-v2,iforest,adaptive_groupwise_transfer,groupwise_cross_dataset_compatible,detector_family:density,False,cross_dataset_compatible,learned_prototype_event_time,no_filter,True,0.05,0.43846696392817686,0.03306312705453547,0.05547057402785605,0.0,0.0,0.0,13,0.2991666419769366,synthetic_separation,synthetic_positive_separation,0.11661251895170024,0.30143185529884997,0.367090349887458,-0.06565849458860801,42,1818,0,True,
0,TSB-UAD-Public-v2,ocsvm,real_only,real_only,fixed_policy,False,,none,no_filter,False,0.05,0.5126218043003935,0.0643831538763889,0.0,0.0,0.0,0.0,0,16.66285005476493,fp_aware_synthetic_separation,fp_aware_synthetic_separation,,,2.5717789443753754,,0,0,0,True,
0,TSB-UAD-Public-v2,ocsvm,random_event_oversampling,random_event_oversampling,fixed_policy,False,,random_event_oversampling,no_filter,False,0.05,0.5126218043003935,0.0643831538763889,0.0,0.0,0.0,0.0,0,16.66285005476493,fp_aware_synthetic_separation,fp_aware_synthetic_separation,,0.00010362129071209193,2.5717789443753754,-2.5716753230846634,84,3636,0,True,
0,TSB-UAD-Public-v2,ocsvm,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,cross_dataset_all,learned_prototype_event_time,no_filter,False,0.05,0.5126218043003935,0.0643831538763889,0.0,0.0,0.0,0.0,0,16.66285005476493,fp_aware_synthetic_separation,fp_aware_synthetic_separation,,0.0,2.5717789443753754,-2.5717789443753754,42,1818,0,True,
