detector_backbone,real_only_event_f1,random_event_oversampling_event_f1,cross_dataset_all_event_f1,cross_dataset_compatible_event_f1,compatibility_strict_event_f1,adaptive_groupwise_transfer_event_f1,cross_dataset_all_policy,cross_dataset_compatible_policy,compatibility_strict_policy,adaptive_groupwise_transfer_policy,gain_compatibility_strict_over_real_only,gain_compatibility_strict_over_cross_dataset_all,false_positive_change_vs_real_only,gain_adaptive_groupwise_transfer_over_real_only,adaptive_false_positive_change_vs_real_only
autoencoder,0.0014184397163120566,0.01488368462138954,0.03113423068839241,0.0314562474420304,0.027613858805631348,0.03113423068839241,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.026195419089319293,-0.0035203718827610635,128.4,0.029715790972080356,162.8
cnn,0.012320082320082321,0.04129411327297748,0.03162454931624549,0.025391621129326046,0.03891205708547308,0.03162454931624549,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.02659197476539076,0.00728750776922759,125.2,0.01930446699616317,119.99999999999999
iforest,0.001146131805157593,0.03519760479041916,0.05672689961124664,0.034,0.027623384764105696,0.034,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.026477252958948105,-0.029103514847140945,22.4,0.03285386819484241,16.6
internal_classifier,0.11434672964766979,0.08787512167857066,0.09478438328627678,0.05208945689735854,0.09342317045564923,0.09478438328627678,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,-0.02092355919202056,-0.0013612128306275534,33.60000000000002,-0.019562346361393007,-45.39999999999998
lof,0.03032443965716817,0.025083317376306303,0.03478553364010635,0.03612735636137541,0.052157531252731884,0.03612735636137541,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.021833091595563715,0.017371997612625534,51.80000000000001,0.005802916704207239,71.6
ocsvm,0.002209944751381215,0.0024922118380062306,0.002209944751381215,0.002209944751381215,0.002209944751381215,0.002209944751381215,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.0,0.0,0.0,0.0,0.0
timesnet,0.007836391437308868,0.010079981180898612,0.007836391437308868,0.007836391437308868,0.007836391437308868,0.007836391437308868,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.0,0.0,0.0,0.0,0.0
