method,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,auroc,auprc,best_point_f1,event_precision,event_recall,event_f1,false_positive_events,metrics_valid,metrics_invalid_reason,num_synthetic_windows,num_synthetic_points,num_rejected_synthetic_windows,num_real_positive_train_points
real_only,,,,False,0.2,0.45169879215217373,0.03717612559948714,0.07418288652221815,0.08548707753479125,0.2471264367816092,0.12703101920236334,460.0,True,,0,0,0,1286
learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,none,False,0.2,0.49807983054929356,0.043071791561690456,0.09476490547746001,0.10526315789473684,0.2413793103448276,0.14659685863874344,357.0,True,,72,1286,232,1286
learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,none,False,0.2,0.5357604403242688,0.04445805745981991,0.0801982827299283,0.081799591002045,0.22988505747126436,0.1206636500754148,449.0,True,,72,1286,1208,1286
learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,none,True,0.2,0.4982812963627309,0.03992736498516992,0.08441558441558442,0.07505070993914807,0.21264367816091953,0.11094452773613193,456.0,True,,72,1286,1208,1286
