method,donor_policy,synthesis_method,filter_policy,compatibility_enabled,labeled_fraction,auroc,auprc,best_point_f1,event_precision,event_recall,event_f1,false_positive_events,metrics_valid,metrics_invalid_reason,num_synthetic_windows,num_synthetic_points,num_rejected_synthetic_windows,num_real_positive_train_points
real_only,,,,False,0.2,0.6349430904565723,0.05739412477410542,0.12157099697885196,0.05234460196292257,0.14634146341463414,0.07710843373493977,869.0,True,,0,0,0,4866
random_event_oversampling,,,,False,0.2,0.6368425910056786,0.05867069126247814,0.12197397059476747,0.05049594229035167,0.17073170731707318,0.0779401530967293,1053.0,True,,0,14598,0,4866
learned_prototype_event_time__all_donors_no_filter,all_donors_no_filter,learned_prototype_event_time,none,False,0.2,0.5088540318314351,0.04252679992773305,0.0836703826116184,0.06766917293233082,0.027439024390243903,0.039045553145336226,124.0,True,,254,4866,10414,4866
learned_prototype_event_time__same_dataset_only,same_dataset_only,learned_prototype_event_time,none,False,0.2,0.5208063431641599,0.08444276884415447,0.0723930048328434,0.0367816091954023,0.14634146341463414,0.05878750765462339,1257.0,True,,254,4866,2532,4866
learned_prototype_event_time__cross_dataset_all,cross_dataset_all,learned_prototype_event_time,none,False,0.2,0.563916841097885,0.04719852000326886,0.08116920926982649,0.03600654664484452,0.06707317073170732,0.046858359957401494,589.0,True,,254,4866,7882,4866
learned_prototype_event_time__cross_dataset_compatible,cross_dataset_compatible,learned_prototype_event_time,none,True,0.2,0.5503553907932934,0.04616533019205704,0.1005871840694409,0.039162112932604735,0.13109756097560976,0.060308555399719486,1055.0,True,,254,4866,7882,4866
learned_prototype_event_time__compatibility_top50,compatibility_top50,learned_prototype_event_time,none,True,0.2,0.5473792247062247,0.04796160035816969,0.08637892067691968,0.030510585305105854,0.14939024390243902,0.050672182006204755,1557.0,True,,254,4866,10414,4866
learned_prototype_event_time__compatibility_strict,compatibility_strict,learned_prototype_event_time,none,True,0.2,0.5772992063213855,0.050150642341095814,0.09221736951385408,0.027686222808174028,0.12804878048780488,0.04552845528455284,1475.0,True,,254,4446,10414,4866
learned_prototype_event_time__strict_filter,cross_dataset_compatible,learned_prototype_event_time,strict,True,0.2,0.6251687468462334,0.05650877927013459,0.11341721332042871,0.027924528301886794,0.11280487804878049,0.04476709013914096,1288.0,True,,4,834,8132,4866
dtw_aligned_donor__cross_dataset_compatible,cross_dataset_compatible,dtw_aligned_donor,none,True,0.2,0.5685942522528071,0.062029970342266566,0.08571958358718974,0.025048169556840076,0.11890243902439024,0.041379310344827586,1518.0,True,,254,4866,7882,4866
normalized_time_mean_donor__cross_dataset_compatible,cross_dataset_compatible,normalized_time_mean_donor,none,True,0.2,0.5521308880189963,0.04654838919606763,0.09624026696329255,0.03796376186367558,0.13414634146341464,0.05917955615332885,1115.0,True,,254,4866,7882,4866
