detector_backbone,adaptive_groupwise_transfer,groupwise_compatibility_strict,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,random_event_oversampling,real_only
autoencoder,0.048284519854619214,0.023052216600603696,0.048284519854619214,0.048068643898582765,0.0465614488080643,0.0014184397163120566
cnn,0.02972542291814559,0.03728908081646141,0.02972542291814559,0.02293255314513368,0.04111037628772133,0.012320082320082321
iforest,0.05318707660239709,0.024465490027263594,0.02272689961124664,0.05318707660239709,0.03670880361173815,0.001146131805157593
internal_classifier,0.04421761626305516,0.05676032385996447,0.04421761626305516,0.041904663900530076,0.058557251647564444,0.059091529906486605
lof,0.036879099195300566,0.03665090520154597,0.03747100573624784,0.036879099195300566,0.025135395771676332,0.03032443965716817
ocsvm,0.002209944751381215,0.002209944751381215,0.002209944751381215,0.002209944751381215,0.002507836990595611,0.002209944751381215
timesnet,0.007836391437308868,0.007836391437308868,0.007836391437308868,0.007836391437308868,0.010079981180898612,0.007836391437308868
