detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,threshold,threshold_mode,calibration_f1,synthetic_score_mean,normal_score_mean,synthetic_normal_score_gap,split_seed
timesnet,random_event_oversampling,random_event_oversampling,fixed_policy,False,736807.18151562,fp_aware_synthetic_separation,,2593.649846312386,48049.77476680329,-45456.1249204909,0
timesnet,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,736807.18151562,fp_aware_synthetic_separation,,692.4330525734092,48049.77476680329,-47357.34171422988,0
timesnet,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,736807.18151562,fp_aware_synthetic_separation,,254.55232117273985,48049.77476680329,-47795.22244563055,0
timesnet,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,736807.18151562,fp_aware_synthetic_separation,,1630.4855600849637,48049.77476680329,-46419.28920671833,0
timesnet,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,736807.18151562,fp_aware_synthetic_separation,,692.4330525734092,48049.77476680329,-47357.34171422988,0
internal_classifier,real_only,real_only,fixed_policy,False,0.6677700424729203,oracle_val,0.08617234468937877,,,,1
internal_classifier,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.11342957264398748,oracle_val,0.06323372465314833,,,,1
internal_classifier,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.6681969225298923,oracle_val,0.09246575342465754,,,,1
internal_classifier,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.695,oracle_val,0.08919382504288165,,,,1
internal_classifier,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.6508341832934365,oracle_val,0.11320754716981132,,,,1
internal_classifier,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,0.6681969225298923,oracle_val,0.09246575342465754,,,,1
iforest,real_only,real_only,fixed_policy,False,0.39901453522353286,synthetic_separation,,,0.3248773972814482,,1
iforest,random_event_oversampling,random_event_oversampling,fixed_policy,False,0.41808434932541283,synthetic_separation,0.3706896551724138,0.40601557528861315,0.3248773972814482,0.08113817800716494,1
iforest,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,0.29670066657660155,synthetic_separation,0.15019331362292473,0.2996417620725204,0.3248773972814482,-0.025235635208927798,1
iforest,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.29670066657660155,synthetic_separation,0.16513264753654575,0.2968087452858954,0.3248773972814482,-0.028068651995552807,1
