detector_backbone,adaptive_groupwise_transfer,all_donors_no_filter,random_event_oversampling,real_only
autoencoder,0.07708041769835289,0.07866308833810694,0.07856903297931805,0.0
iforest,0.07651461838653957,0.07651461838653957,0.07651461838653957,0.0
internal_classifier,0.12904953145917,0.14527845036319612,0.0914179104477612,0.18526123659593885
lof,0.07651625010662799,0.07104869825159026,0.07837962657517979,0.0
ocsvm,0.07651461838653957,0.07651461838653957,0.07651461838653957,0.0
timesnet,0.07651461838653957,0.07651461838653957,0.07651461838653957,0.0
