detector_backbone,real_only_event_f1,random_event_oversampling_event_f1,cross_dataset_all_event_f1,cross_dataset_compatible_event_f1,compatibility_strict_event_f1,adaptive_groupwise_transfer_event_f1,cross_dataset_all_policy,cross_dataset_compatible_policy,compatibility_strict_policy,adaptive_groupwise_transfer_policy,gain_compatibility_strict_over_real_only,gain_compatibility_strict_over_cross_dataset_all,false_positive_change_vs_real_only,gain_adaptive_groupwise_transfer_over_real_only,adaptive_false_positive_change_vs_real_only
autoencoder,0.00299625468164794,0.08831120286072949,0.045813021711288954,0.025801587301587305,0.04284832220079645,0.045813021711288954,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.03985206751914851,-0.0029646995104925036,122.79999999999998,0.04281676702964101,41.800000000000004
cnn,0.0,0.025520778476050044,0.0034582132564841494,0.0023952095808383233,0.03393609858151674,0.0034582132564841494,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.03393609858151674,0.030477885325032594,144.6,0.0034582132564841494,34.400000000000006
iforest,0.003007518796992481,0.03481795997085102,0.011223684625824574,0.04365424224111576,0.04221942571644837,0.04365424224111576,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.03921190691945589,0.030995741090623797,5.0,0.04064672344412328,11.399999999999999
internal_classifier,0.046039361056330996,0.04530259007242342,0.057483074199813744,0.06273189000081528,0.0436254534609423,0.057483074199813744,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,-0.0024139075953886965,-0.013857620738871444,105.0,0.011443713143482748,19.0
lof,0.01547857939162287,0.05608913636153597,0.05795885845408453,0.09674632419791322,0.07910267643203779,0.09674632419791322,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,0.06362409704041493,0.021143817977953262,76.39999999999999,0.08126774480629036,103.39999999999999
ocsvm,0.00788545186402076,0.0,0.0020833333333333333,0.0,0.0,0.0,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,-0.00788545186402076,-0.0020833333333333333,-50.800000000000004,-0.00788545186402076,-50.6
timesnet,0.037948176550091944,0.020933589178673807,0.008465705348287176,0.030365571979934912,0.0320614548849843,0.008465705348287176,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,groupwise_compatibility_strict,adaptive_groupwise_transfer,-0.005886721665107647,0.023595749536697123,227.4,-0.02948247120180477,194.0
