detector_backbone,augmentation_policy,selected_policy_name,selection_reason,fallback_used,threshold,threshold_mode,calibration_f1,synthetic_score_mean,normal_score_mean,synthetic_normal_score_gap,split_seed
autoencoder,cross_dataset_all,cross_dataset_all,fixed_policy,False,5404.8157903613555,synthetic_separation,0.056026058631921824,21141.47768437685,190.35016352412467,20951.127520852722,0
autoencoder,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,0.6450499655732045,synthetic_separation,0.05063592059907286,0.738274891601343,173.9471507861558,-173.20887589455444,0
autoencoder,compatibility_strict,compatibility_strict,fixed_policy,False,0.6563477301548446,synthetic_separation,0.0011422976501305484,0.7036199472789709,175.23458523712532,-174.53096528984634,0
autoencoder,groupwise_cross_dataset_all,groupwise_cross_dataset_all,fixed_policy,False,5365.268522771075,synthetic_separation,0.05732899022801303,48863.33053065945,187.8812363056596,48675.44929435379,0
autoencoder,groupwise_cross_dataset_compatible,groupwise_cross_dataset_compatible,fixed_policy,False,0.7232385651791702,synthetic_separation,0.056864452656106575,0.7528424333126413,196.85956018865386,-196.1067177553412,0
autoencoder,groupwise_compatibility_strict,groupwise_compatibility_strict,fixed_policy,False,0.6563477301548446,synthetic_separation,0.0011422976501305484,0.7036199472789709,175.23458523712532,-174.53096528984634,0
autoencoder,adaptive_groupwise_transfer,groupwise_cross_dataset_all,detector_family:broad,False,5365.268522771075,synthetic_separation,0.05732899022801303,48863.33053065945,187.8812363056596,48675.44929435379,0
cnn,real_only,real_only,fixed_policy,False,210849.4295827924,synthetic_separation,,,34001.362436571064,,0
cnn,random_event_oversampling,random_event_oversampling,fixed_policy,False,46.08456684026872,synthetic_separation,0.09837228899631881,120878895.85322209,34001.362436571064,120844894.49078551,0
cnn,cross_dataset_all,cross_dataset_all,fixed_policy,False,125.3338392699718,synthetic_separation,0.06218451294168188,5318304.441595167,34001.362436571064,5284303.079158596,0
cnn,cross_dataset_compatible,cross_dataset_compatible,fixed_policy,False,106.66609790403348,synthetic_separation,0.053148928278091305,140.6945032500097,34001.362436571064,-33860.667933321056,0
