detector_backbone,adaptive_groupwise_transfer,compatibility_strict,cross_dataset_all,cross_dataset_compatible,groupwise_compatibility_strict,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,random_event_oversampling,real_only
autoencoder,0.05045556347974883,0.056880096205965014,0.05695278006002461,0.06157187588973241,0.056880096205965014,0.05045556347974883,0.06013422692797501,0.06507782151762131,0.0013414035661704563
cnn,0.06687640299258843,0.04510281308309175,0.06677166042849934,0.06680140984964486,0.04510281308309175,0.06687640299258843,0.06652577792782868,0.06362003681642382,0.0016087714363234279
iforest,0.06476956794830986,0.058171282354596454,0.03967195934277042,0.06572584235682252,0.058171282354596454,0.04550576716123985,0.06476956794830986,0.06447441269090774,0.004563581056545652
internal_classifier,0.0795594135351587,0.0768326404853634,0.07418261097161163,0.07919706794326856,0.0768326404853634,0.0795594135351587,0.07642063665132073,0.06677859895951303,0.07315080556009074
lof,0.07202558219954083,0.05822847376788356,0.04556232552196724,0.06698575633565343,0.05822847376788356,0.05633110706718812,0.07202558219954083,0.07152412870046823,0.029072040557340022
ocsvm,0.06584284440707315,0.055249795015107274,0.014048680888760007,0.06391596768054877,0.055249795015107274,0.051020802536348143,0.06584284440707315,0.06584284440707315,0.006796538041569119
timesnet,0.05945632471927033,0.04273049309641914,0.06192279296031422,0.06035579637130952,0.04273049309641914,0.05945632471927033,0.05618844955143486,0.06283106770880922,0.021088044989208087
