detector_backbone,adaptive_groupwise_transfer,compatibility_strict,cross_dataset_all,cross_dataset_compatible,groupwise_compatibility_strict,groupwise_cross_dataset_all,groupwise_cross_dataset_compatible,random_event_oversampling,real_only
autoencoder,0.045813021711288954,0.04284832220079645,0.057941186188024615,0.058346570277215716,0.04284832220079645,0.045813021711288954,0.025801587301587305,0.08831120286072949,0.00299625468164794
cnn,0.0034582132564841494,0.03393609858151674,0.0034383954154727794,0.003498542274052478,0.03393609858151674,0.0034582132564841494,0.0023952095808383233,0.025520778476050044,0.0
iforest,0.04365424224111576,0.04221942571644837,0.03359202642644299,0.038777801912130275,0.04221942571644837,0.011223684625824574,0.04365424224111576,0.03481795997085102,0.003007518796992481
internal_classifier,0.057483074199813744,0.0436254534609423,0.035904107353489555,0.05718972679585049,0.0436254534609423,0.057483074199813744,0.06273189000081528,0.04530259007242342,0.046039361056330996
lof,0.09674632419791322,0.07910267643203779,0.03886845105861995,0.06660336129310421,0.07910267643203779,0.05795885845408453,0.09674632419791322,0.05608913636153597,0.01547857939162287
ocsvm,0.0,0.0,0.0020833333333333333,0.006274509803921568,0.0,0.0020833333333333333,0.0,0.0,0.00788545186402076
timesnet,0.008465705348287176,0.0320614548849843,0.013630698174686026,0.029900721404125724,0.0320614548849843,0.008465705348287176,0.030365571979934912,0.020933589178673807,0.037948176550091944
